,Store,Dept,Date,Weekly_Sales,IsHoliday,Type,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment
187335,20,1,2010-02-05,46021.21,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187371,20,38,2010-02-05,111554.95,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187337,20,3,2010-02-05,15933.49,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187338,20,4,2010-02-05,56524.58,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187339,20,5,2010-02-05,56536.02,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187340,20,6,2010-02-05,8940.41,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187341,20,7,2010-02-05,33042.19,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187352,20,19,2010-02-05,0.0,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187342,20,8,2010-02-05,89319.61,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187344,20,10,2010-02-05,45073.66,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187345,20,11,2010-02-05,33693.8,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187346,20,12,2010-02-05,6527.56,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187347,20,13,2010-02-05,69111.88,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187348,20,14,2010-02-05,31194.85,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187349,20,16,2010-02-05,6485.21,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187343,20,9,2010-02-05,18259.07,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187336,20,2,2010-02-05,85812.69,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187354,20,21,2010-02-05,16995.18,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187353,20,20,2010-02-05,8419.85,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187361,20,28,2010-02-05,1058.36,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187355,20,22,2010-02-05,17597.83,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187356,20,23,2010-02-05,33712.17,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187357,20,24,2010-02-05,10496.98,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187358,20,25,2010-02-05,17435.07,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187359,20,26,2010-02-05,16856.28,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187360,20,27,2010-02-05,4229.18,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187369,20,36,2010-02-05,2559.5,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187362,20,29,2010-02-05,10209.0,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187363,20,30,2010-02-05,9488.37,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187364,20,31,2010-02-05,3769.12,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187365,20,32,2010-02-05,18245.49,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187366,20,33,2010-02-05,12349.27,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187367,20,34,2010-02-05,25206.5,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187368,20,35,2010-02-05,4667.0,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187350,20,17,2010-02-05,22464.57,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187370,20,37,2010-02-05,4890.13,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187351,20,18,2010-02-05,9045.4,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187372,20,40,2010-02-05,98890.98,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187380,20,50,2010-02-05,3720.0,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187374,20,42,2010-02-05,7708.73,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187375,20,44,2010-02-05,10130.02,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187376,20,45,2010-02-05,7.52,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187377,20,46,2010-02-05,33577.09,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187378,20,48,2010-02-05,841.0,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187379,20,49,2010-02-05,23494.81,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187381,20,51,2010-02-05,24.0,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
187389,20,67,2010-02-05,19251.67,0,A,203742,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001
