,Store,Date,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Total_Sales,day,month,year,Type_B,Type_C
187335,20,2010-02-05,0,25.92,2.784,0.0,0.0,0.0,0.0,0.0,204.2471935,8.187000000000001,2401395.4699999997,4,2,2010,0,0
187408,20,2010-02-12,1,22.12,2.773,0.0,0.0,0.0,0.0,0.0,204.3857472,8.187000000000001,2109107.9,4,2,2010,0,0
187479,20,2010-02-19,0,25.43,2.745,0.0,0.0,0.0,0.0,0.0,204.4321004,8.187000000000001,2161549.76,4,2,2010,0,0
187552,20,2010-02-26,0,32.32,2.7539999999999996,0.0,0.0,0.0,0.0,0.0,204.4630869,8.187000000000001,1898193.95,4,2,2010,0,0
187624,20,2010-03-05,0,31.75,2.7769999999999997,0.0,0.0,0.0,0.0,0.0,204.49407340000002,8.187000000000001,2119213.7199999997,4,3,2010,0,0
187697,20,2010-03-12,0,43.82,2.818,0.0,0.0,0.0,0.0,0.0,204.52505980000004,8.187000000000001,2010974.8399999999,4,3,2010,0,0
187769,20,2010-03-19,0,47.32,2.844,0.0,0.0,0.0,0.0,0.0,204.37822580000002,8.187000000000001,1951848.4299999997,4,3,2010,0,0
187840,20,2010-03-26,0,50.49,2.8539999999999996,0.0,0.0,0.0,0.0,0.0,204.201755,8.187000000000001,1894742.9500000002,4,3,2010,0,0
187911,20,2010-04-02,0,51.0,2.85,0.0,0.0,0.0,0.0,0.0,204.0252842,7.856,2405395.2199999997,4,4,2010,0,0
187982,20,2010-04-09,0,65.1,2.8689999999999998,0.0,0.0,0.0,0.0,0.0,203.8488134,7.856,2007796.26,4,4,2010,0,0
188053,20,2010-04-16,0,55.43,2.8989999999999996,0.0,0.0,0.0,0.0,0.0,203.7307486,7.856,1985784.5899999999,4,4,2010,0,0
188123,20,2010-04-23,0,50.65,2.9019999999999997,0.0,0.0,0.0,0.0,0.0,203.6905586,7.856,1878862.4199999997,4,4,2010,0,0
188193,20,2010-04-30,0,54.75,2.9210000000000003,0.0,0.0,0.0,0.0,0.0,203.6503685,7.856,1919053.2100000002,4,4,2010,0,0
188264,20,2010-05-07,0,66.74,2.966,0.0,0.0,0.0,0.0,0.0,203.6101784,7.856,2137202.3799999994,4,5,2010,0,0
188335,20,2010-05-14,0,55.91,2.9819999999999998,0.0,0.0,0.0,0.0,0.0,203.6133915,7.856,2033211.6199999999,4,5,2010,0,0
188404,20,2010-05-21,0,60.38,2.958,0.0,0.0,0.0,0.0,0.0,203.8770235,7.856,1893736.9000000001,4,5,2010,0,0
188475,20,2010-05-28,0,70.97,2.8989999999999996,0.0,0.0,0.0,0.0,0.0,204.14065559999997,7.856,2065984.9499999995,4,5,2010,0,0
188546,20,2010-06-04,0,72.52,2.847,0.0,0.0,0.0,0.0,0.0,204.4042877,7.856,2203619.35,4,6,2010,0,0
188616,20,2010-06-11,0,67.32,2.8089999999999997,0.0,0.0,0.0,0.0,0.0,204.66791980000002,7.856,2100489.79,4,6,2010,0,0
188686,20,2010-06-18,0,72.62,2.78,0.0,0.0,0.0,0.0,0.0,204.670036,7.856,2091903.63,4,6,2010,0,0
188756,20,2010-06-25,0,75.17,2.8080000000000003,0.0,0.0,0.0,0.0,0.0,204.5675459,7.856,1973135.8699999996,4,6,2010,0,0
188827,20,2010-07-02,0,70.1,2.815,0.0,0.0,0.0,0.0,0.0,204.4650559,7.527,2143676.7699999996,4,7,2010,0,0
188899,20,2010-07-09,0,78.09,2.793,0.0,0.0,0.0,0.0,0.0,204.3625658,7.527,2107285.85,4,7,2010,0,0
188969,20,2010-07-16,0,75.14,2.783,0.0,0.0,0.0,0.0,0.0,204.3571656,7.527,2031852.1600000001,4,7,2010,0,0
189038,20,2010-07-23,0,77.75,2.7710000000000004,0.0,0.0,0.0,0.0,0.0,204.48121880000002,7.527,1900535.9,4,7,2010,0,0
189109,20,2010-07-30,0,76.03,2.781,0.0,0.0,0.0,0.0,0.0,204.60527199999999,7.527,1955896.59,4,7,2010,0,0
189179,20,2010-08-06,0,74.57,2.784,0.0,0.0,0.0,0.0,0.0,204.72932519999998,7.527,1910177.3800000004,4,8,2010,0,0
189248,20,2010-08-13,0,75.98,2.805,0.0,0.0,0.0,0.0,0.0,204.8533784,7.527,2071022.45,4,8,2010,0,0
189317,20,2010-08-20,0,75.34,2.779,0.0,0.0,0.0,0.0,0.0,204.8217044,7.527,1975374.56,4,8,2010,0,0
189389,20,2010-08-27,0,70.51,2.755,0.0,0.0,0.0,0.0,0.0,204.7900305,7.527,1946369.5699999998,4,8,2010,0,0
189459,20,2010-09-03,0,75.5,2.715,0.0,0.0,0.0,0.0,0.0,204.75835659999998,7.527,2121561.41,4,9,2010,0,0
189532,20,2010-09-10,1,65.02,2.699,0.0,0.0,0.0,0.0,0.0,204.72668269999997,7.527,2014954.7899999998,4,9,2010,0,0
189604,20,2010-09-17,0,65.28,2.7060000000000004,0.0,0.0,0.0,0.0,0.0,204.7513279,7.527,1948359.78,4,9,2010,0,0
189675,20,2010-09-24,0,69.37,2.713,0.0,0.0,0.0,0.0,0.0,204.81821259999998,7.527,1789687.6500000001,4,9,2010,0,0
189746,20,2010-10-01,0,61.08,2.707,0.0,0.0,0.0,0.0,0.0,204.8850973,7.484,1933719.21,4,10,2010,0,0
189817,20,2010-10-08,0,51.5,2.764,0.0,0.0,0.0,0.0,0.0,204.95198200000002,7.484,2060389.2699999998,4,10,2010,0,0
